id,location name,primary group value,country,latitude,longitude,website,tooltip content,sort order,displayed in chart
Q1914108,Huys Dever,castle,Netherlands,52.248920000000005,4.54743,https://thecastlemap.com/castles/huys-dever/,"<div class=""tooltip""><span class=""location-name"">Huys Dever</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1375.0</span><span class=""century"">14th century</span><span class=""website"">https://thecastlemap.com/castles/huys-dever/</span></div>",49,demo-map-dot-distribution
Q1918354,Breda Castle,castle,Netherlands,51.591390000000004,4.77528,https://thecastlemap.com/castles/breda-castle/,"<div class=""tooltip""><span class=""location-name"">Breda Castle</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1540.0</span><span class=""century"">16th century</span><span class=""website"">https://thecastlemap.com/castles/breda-castle/</span></div>",50,demo-map-dot-distribution
Q1918429,Croy Castle,castle,Netherlands,51.5,5.624720000000001,https://thecastlemap.com/castles/croy-castle/,"<div class=""tooltip""><span class=""location-name"">Croy Castle</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1450.0</span><span class=""century"">15th century</span><span class=""website"">https://thecastlemap.com/castles/croy-castle/</span></div>",51,demo-map-dot-distribution
Q1918868,Huis te Riviere,castle,Netherlands,51.91818000000001,4.4029300000000004,https://thecastlemap.com/castles/huis-te-riviere/,"<div class=""tooltip""><span class=""location-name"">Huis te Riviere</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1262.0</span><span class=""century"">13th century</span><span class=""website"">https://thecastlemap.com/castles/huis-te-riviere/</span></div>",52,demo-map-dot-distribution
Q1967073,Assumburg,castle,Netherlands,52.505,4.685280000000001,https://thecastlemap.com/castles/assumburg/,"<div class=""tooltip""><span class=""location-name"">Assumburg</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1450.0</span><span class=""century"">15th century</span><span class=""website"">https://thecastlemap.com/castles/assumburg/</span></div>",53,demo-map-dot-distribution
Q2012221,Doornenburg Castle,castle,Netherlands,51.89361,5.99889,https://thecastlemap.com/castles/doornenburg-castle/,"<div class=""tooltip""><span class=""location-name"">Doornenburg Castle</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1400.0</span><span class=""century"">14th century</span><span class=""website"">https://thecastlemap.com/castles/doornenburg-castle/</span></div>",54,demo-map-dot-distribution
Q2020929,Kneuterdijk Palace,palace,Netherlands,52.08131,4.30865,https://thecastlemap.com/castles/kneuterdijk-palace/,"<div class=""tooltip""><span class=""location-name"">Kneuterdijk Palace</span><span class=""primary-group-value"">palace</span><span class=""country"">Netherlands</span><span class=""year"">1720.0</span><span class=""century"">18th century</span><span class=""website"">https://thecastlemap.com/castles/kneuterdijk-palace/</span></div>",55,demo-map-dot-distribution
Q2030260,Wijnandsrade Castle,castle,Netherlands,50.90222000000001,5.88306,https://thecastlemap.com/castles/wijnandsrade-castle/,"<div class=""tooltip""><span class=""location-name"">Wijnandsrade Castle</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1100.0</span><span class=""century"">11th century</span><span class=""website"">https://thecastlemap.com/castles/wijnandsrade-castle/</span></div>",56,demo-map-dot-distribution
Q2033940,"Ganzenmarkt 24-26, Utrecht",castle,Netherlands,52.092490000000005,5.119800000000001,https://thecastlemap.com/castles/ganzenmarkt-24-26-utrecht/,"<div class=""tooltip""><span class=""location-name"">Ganzenmarkt 24-26, Utrecht</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""website"">https://thecastlemap.com/castles/ganzenmarkt-24-26-utrecht/</span></div>",57,demo-map-dot-distribution
Q2034347,"Castle d'Erp",castle,Netherlands,51.3295,6.099600000000001,https://thecastlemap.com/castles/castle-d-erp/,"<div class=""tooltip""><span class=""location-name"">Castle d'Erp</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1650.0</span><span class=""century"">17th century</span><span class=""website"">https://thecastlemap.com/castles/castle-d-erp/</span></div>",58,demo-map-dot-distribution
Q2047615,Landgoed Rosendael,castle,Netherlands,52.009440000000005,5.964440000000001,https://thecastlemap.com/castles/landgoed-rosendael/,"<div class=""tooltip""><span class=""location-name"">Landgoed Rosendael</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""website"">https://thecastlemap.com/castles/landgoed-rosendael/</span></div>",59,demo-map-dot-distribution
Q2047965,Slot Ravesteyn,castle,Netherlands,51.863060000000004,4.242500000000001,https://thecastlemap.com/castles/slot-ravesteyn/,"<div class=""tooltip""><span class=""location-name"">Slot Ravesteyn</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1250.0</span><span class=""century"">13th century</span><span class=""website"">https://thecastlemap.com/castles/slot-ravesteyn/</span></div>",60,demo-map-dot-distribution
Q2056066,Zuylestein Castle,castle,Netherlands,52.00083000000001,5.4425,https://thecastlemap.com/castles/zuylestein-castle/,"<div class=""tooltip""><span class=""location-name"">Zuylestein Castle</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1536.0</span><span class=""century"">16th century</span><span class=""website"">https://thecastlemap.com/castles/zuylestein-castle/</span></div>",61,demo-map-dot-distribution
Q2067671,Fort Harssens,fortress,Netherlands,52.964090000000006,4.781580000000001,https://thecastlemap.com/castles/fort-harssens/,"<div class=""tooltip""><span class=""location-name"">Fort Harssens</span><span class=""primary-group-value"">fortress</span><span class=""country"">Netherlands</span><span class=""website"">https://thecastlemap.com/castles/fort-harssens/</span></div>",62,demo-map-dot-distribution
Q2075685,Castle Lichtenberg,ruin,Netherlands,50.82269,5.694640000000001,https://thecastlemap.com/castles/castle-lichtenberg/,"<div class=""tooltip""><span class=""location-name"">Castle Lichtenberg</span><span class=""primary-group-value"">ruin</span><span class=""country"">Netherlands</span><span class=""website"">https://thecastlemap.com/castles/castle-lichtenberg/</span></div>",63,demo-map-dot-distribution
Q2084244,Beverweerd Castle,castle,Netherlands,52.031940000000006,5.249720000000001,https://thecastlemap.com/castles/beverweerd-castle/,"<div class=""tooltip""><span class=""location-name"">Beverweerd Castle</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1250.0</span><span class=""century"">13th century</span><span class=""website"">https://thecastlemap.com/castles/beverweerd-castle/</span></div>",64,demo-map-dot-distribution
Q2087433,Fort bij Hinderdam,fortress,Netherlands,52.28389000000001,5.058330000000001,https://thecastlemap.com/castles/fort-bij-hinderdam/,"<div class=""tooltip""><span class=""location-name"">Fort bij Hinderdam</span><span class=""primary-group-value"">fortress</span><span class=""country"">Netherlands</span><span class=""website"">https://thecastlemap.com/castles/fort-bij-hinderdam/</span></div>",65,demo-map-dot-distribution
Q2109262,Castle Genhoes,castle,Netherlands,50.855560000000004,5.85611,https://thecastlemap.com/castles/castle-genhoes/,"<div class=""tooltip""><span class=""location-name"">Castle Genhoes</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""website"">https://thecastlemap.com/castles/castle-genhoes/</span></div>",66,demo-map-dot-distribution
Q2115531,"Kasteel d'Oultremont",castle,Netherlands,51.69276000000001,5.1692800000000005,https://thecastlemap.com/castles/kasteel-d-oultremont/,"<div class=""tooltip""><span class=""location-name"">Kasteel d'Oultremont</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1600.0</span><span class=""century"">16th century</span><span class=""website"">https://thecastlemap.com/castles/kasteel-d-oultremont/</span></div>",67,demo-map-dot-distribution
Q2119153,Castle Batenstein,castle,Netherlands,51.995830000000005,5.091670000000001,https://thecastlemap.com/castles/castle-batenstein/,"<div class=""tooltip""><span class=""location-name"">Castle Batenstein</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""website"">https://thecastlemap.com/castles/castle-batenstein/</span></div>",68,demo-map-dot-distribution
Q2131198,Zuylen Castle,castle,Netherlands,52.127100000000006,5.0730900000000005,https://thecastlemap.com/castles/zuylen-castle/,"<div class=""tooltip""><span class=""location-name"">Zuylen Castle</span><span class=""primary-group-value"">castle</span><span class=""country"">Netherlands</span><span class=""year"">1510.0</span><span class=""century"">16th century</span><span class=""website"">https://thecastlemap.com/castles/zuylen-castle/</span></div>",69,demo-map-dot-distribution
